213,119
241,133
211,168
192,142
179,157
174,178
270,175
243,180
219,200
257,217
306,198
359,221
402,247
410,293
161,214
158,239
194,224
208,237
244,241
261,258
308,256
319,283
349,251
364,303
378,331
407,368
128,259
185,267
170,296
211,291
245,289
204,320
224,338
274,299
296,312
265,331
304,339
338,325
117,309
114,324
142,356
159,384
193,367
218,382
195,398
216,422
226,452
262,355
245,371
279,374
249,389
261,406
281,418
266,454
306,484
318,449
311,374
346,374
328,408
368,424
477,191
526,211
494,235
463,259
503,249
550,240
486,292
527,282
466,332
505,322
547,312
468,377
501,354
543,347
590,334
585,304
570,276
585,239
614,216
614,250
614,284
617,317
650,200
650,235
650,274
654,313
690,287
688,251
688,216
685,176
712,135
723,174
716,215
725,251
718,286
757,268
759,227
753,193
753,161
753,125
784,107
785,145
788,181
793,218
795,253
829,276
825,237
822,198
818,165
814,143
853,179
858,215
862,255
884,206
884,177
901,150
906,177
918,158
